Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415372019076609;0.3559635853221146
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972122123343875;0.4115704523079008
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.29713624855403714;0.31540847719175635
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5248102154995187;0.5468267674295746
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6130595869475045;0.6340119555772987
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6448513686675215;0.6651480732746412
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6688007033584563;0.7488279375345931
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8083694849048662;0.8704105286171173
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8517722993982615;0.9031681547051675
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8681693159036609;0.915488918430978
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531049725758785;0.203137185121273
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.3459893315761258;0.40853195336848536
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.441763590003415;0.497049288844102
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48516174294670544;0.5350868724809227
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.10026235762794342;0.14967137106274228
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.4210705511145424;0.5163417605222771
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.576336440865419;0.6457771218960996
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6148096795150925;0.6851592950117119
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.3707685552477115;0.5230565092036746
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043085917434261;0.6001074405590484
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.6947880223807378;0.7104365818785585
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7079165598623621;0.7239482202636854
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.723047587378375;0.739297378873498
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.744147689317113;0.7601635039926207
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576905872098544
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787433062773334;0.1313515151289905
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256455734931849;0.13710858748387464
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912265273228133;0.14568782414644812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.2882329241837843;0.3022292604221208
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.3088260135313548;0.3234445505519206
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415372019076609;0.3559635853221146
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972122123343875;0.4115704523079008
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.29713624855403714;0.31540847719175635
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5248102154995187;0.5468267674295746
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6130595869475045;0.6340119555772987
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6448513686675215;0.6651480732746412
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6688007033584563;0.7488279375345931
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8083694849048662;0.8704105286171173
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8517722993982615;0.9031681547051675
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8681693159036609;0.915488918430978
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531049725758785;0.203137185121273
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.3459893315761258;0.40853195336848536
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.441763590003415;0.497049288844102
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48516174294670544;0.5350868724809227
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.10026235762794342;0.14967137106274228
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.4210705511145424;0.5163417605222771
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.576336440865419;0.6457771218960996
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6148096795150925;0.6851592950117119
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.3707685552477115;0.5230565092036746
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043085917434261;0.6001074405590484
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.6947880223807378;0.7104365818785585
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7079165598623621;0.7239482202636854
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.723047587378375;0.739297378873498
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.744147689317113;0.7601635039926207
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576905872098544
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787433062773334;0.1313515151289905
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256455734931849;0.13710858748387464
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912265273228133;0.14568782414644812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.2882329241837843;0.3022292604221208
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.3088260135313548;0.3234445505519206
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415372019076609;0.3559635853221146
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972122123343875;0.4115704523079008
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.29713624855403714;0.31540847719175635
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5248102154995187;0.5468267674295746
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6130595869475045;0.6340119555772987
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6448513686675215;0.6651480732746412
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6687377071089184;0.7487283907458933
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8082783903617319;0.8702954937545025
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8516683249121899;0.903048592205201
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8680954444194536;0.9153984057349988
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531144959303216;0.2031537013609694
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.34600969298282164;0.4085638522416803
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.44178935115633394;0.49709011593961494
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48519094227573534;0.5351304419302707
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.09964808707352786;0.1486864614172925
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.42016420637025825;0.5144746794288532
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.5752104769401639;0.6442172924399328
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6138486970843163;0.6834996257827682
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.37076874492812406;0.5230566772595682
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043089957221548;0.6001080507326383
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.694686174448425;0.7103345602553618
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7078361741120406;0.7238628248008084
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.7229690068231226;0.739189539421978
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.7440542568602034;0.7600629795623631
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576928011627487
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787467594523599;0.13135212973928473
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256489079167198;0.13710920959148115
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912298454819871;0.1456886818890597
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.28825339983830645;0.30225119111088233
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.30884793751168416;0.3234678163784812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415618261091965;0.35598959214386716
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972405920012581;0.41160218375088753
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.2968356301971864;0.3150779033634599
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5244682122400216;0.5464673021051983
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6127982048528791;0.6337146581558172
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6446625625326101;0.6648683993587794
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6687377071089184;0.7487283907458933
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8082783903617319;0.8702954937545025
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8516683249121899;0.903048592205201
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8680954444194536;0.9153984057349988
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531144959303216;0.2031537013609694
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.34600969298282164;0.4085638522416803
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.44178935115633394;0.49709011593961494
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48519094227573534;0.5351304419302707
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.09964808707352786;0.1486864614172925
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.42016420637025825;0.5144746794288532
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.5752104769401639;0.6442172924399328
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6138486970843163;0.6834996257827682
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.37076874492812406;0.5230566772595682
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043089957221548;0.6001080507326383
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.694686174448425;0.7103345602553618
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7078361741120406;0.7238628248008084
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.7229690068231226;0.739189539421978
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.7440542568602034;0.7600629795623631
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576928011627487
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787467594523599;0.13135212973928473
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256489079167198;0.13710920959148115
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912298454819871;0.1456886818890597
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.28825339983830645;0.30225119111088233
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.30884793751168416;0.3234678163784812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415618261091965;0.35598959214386716
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972405920012581;0.41160218375088753
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.2968356301971864;0.3150779033634599
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5244682122400216;0.5464673021051983
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6127982048528791;0.6337146581558172
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6446625625326101;0.6648683993587794
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.668804156140214;0.7488324628218943
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8083746310118595;0.8704170908543576
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8517780118506335;0.9031753357484177
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8681753814909119;0.9154965216763787
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531049725758785;0.203137185121273
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.3459893315761258;0.40853195336848536
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.441763590003415;0.497049288844102
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48516174294670544;0.5350868724809227
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.10026235762794342;0.14967137106274228
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.4210705511145424;0.5163417605222771
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.576336440865419;0.6457771218960996
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6148096795150925;0.6851592950117119
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.3707685552477115;0.5230565092036746
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043085917434261;0.6001074405590484
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.6947880223807378;0.7104365818785585
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7079165598623621;0.7239482202636854
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.723047587378375;0.739297378873498
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.744147689317113;0.7601635039926207
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576905872098544
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787433062773334;0.1313515151289905
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256455734931849;0.13710858748387464
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912265273228133;0.14568782414644812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.2882329241837843;0.3022292604221208
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.3088260135313548;0.3234445505519206
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415372019076609;0.3559635853221146
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972122123343875;0.4115704523079008
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.29713624855403714;0.31540847719175635
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5248102154995187;0.5468267674295746
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6130595869475045;0.6340119555772987
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6448513686675215;0.6651480732746412
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6687377071089184;0.7487283907458933
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8082783903617319;0.8702954937545025
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8516683249121899;0.903048592205201
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8680954444194536;0.9153984057349988
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531144959303216;0.2031537013609694
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.34600969298282164;0.4085638522416803
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.44178935115633394;0.49709011593961494
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48519094227573534;0.5351304419302707
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.09964808707352786;0.1486864614172925
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.42016420637025825;0.5144746794288532
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.5752104769401639;0.6442172924399328
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6138486970843163;0.6834996257827682
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.37076874492812406;0.5230566772595682
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043089957221548;0.6001080507326383
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.694686174448425;0.7103345602553618
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7078361741120406;0.7238628248008084
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.7229690068231226;0.739189539421978
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.7440542568602034;0.7600629795623631
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576928011627487
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787467594523599;0.13135212973928473
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256489079167198;0.13710920959148115
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912298454819871;0.1456886818890597
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;0.5;0.28825339983830645;0.30225119111088233
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;1.0;0.30884793751168416;0.3234678163784812
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;2.0;0.3415618261091965;0.35598959214386716
pointpillars-fpn;30.0;20.0;10.0;traffic_cone;4.0;0.3972405920012581;0.41160218375088753
pointpillars-fpn;30.0;20.0;10.0;barrier;0.5;0.2968356301971864;0.3150779033634599
pointpillars-fpn;30.0;20.0;10.0;barrier;1.0;0.5244682122400216;0.5464673021051983
pointpillars-fpn;30.0;20.0;10.0;barrier;2.0;0.6127982048528791;0.6337146581558172
pointpillars-fpn;30.0;20.0;10.0;barrier;4.0;0.6446625625326101;0.6648683993587794
Model;MAX_DISTANCE_OBJ;MAX_DISTANCE_INTERSECT;MAX_TIME_INTERSECT;class_name;dist_th;ap;ap_crit
pointpillars-fpn;30.0;20.0;10.0;car;0.5;0.6687377071089184;0.7487283907458933
pointpillars-fpn;30.0;20.0;10.0;car;1.0;0.8082783903617319;0.8702954937545025
pointpillars-fpn;30.0;20.0;10.0;car;2.0;0.8516683249121899;0.903048592205201
pointpillars-fpn;30.0;20.0;10.0;car;4.0;0.8680954444194536;0.9153984057349988
pointpillars-fpn;30.0;20.0;10.0;truck;0.5;0.1531144959303216;0.2031537013609694
pointpillars-fpn;30.0;20.0;10.0;truck;1.0;0.34600969298282164;0.4085638522416803
pointpillars-fpn;30.0;20.0;10.0;truck;2.0;0.44178935115633394;0.49709011593961494
pointpillars-fpn;30.0;20.0;10.0;truck;4.0;0.48519094227573534;0.5351304419302707
pointpillars-fpn;30.0;20.0;10.0;bus;0.5;0.09964808707352786;0.1486864614172925
pointpillars-fpn;30.0;20.0;10.0;bus;1.0;0.42016420637025825;0.5144746794288532
pointpillars-fpn;30.0;20.0;10.0;bus;2.0;0.5752104769401639;0.6442172924399328
pointpillars-fpn;30.0;20.0;10.0;bus;4.0;0.6138486970843163;0.6834996257827682
pointpillars-fpn;30.0;20.0;10.0;trailer;0.5;0.008785290641718424;0.022817376067657952
pointpillars-fpn;30.0;20.0;10.0;trailer;1.0;0.15829271952069268;0.2769356984508832
pointpillars-fpn;30.0;20.0;10.0;trailer;2.0;0.37076874492812406;0.5230566772595682
pointpillars-fpn;30.0;20.0;10.0;trailer;4.0;0.5043089957221548;0.6001080507326383
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;0.5;0.0;0.0
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;1.0;0.017187758554152884;0.03683959161718549
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;2.0;0.076854184840721;0.13082836099278583
pointpillars-fpn;30.0;20.0;10.0;construction_vehicle;4.0;0.12412606740875357;0.18115594780182073
pointpillars-fpn;30.0;20.0;10.0;pedestrian;0.5;0.694686174448425;0.7103345602553618
pointpillars-fpn;30.0;20.0;10.0;pedestrian;1.0;0.7078361741120406;0.7238628248008084
pointpillars-fpn;30.0;20.0;10.0;pedestrian;2.0;0.7229690068231226;0.739189539421978
pointpillars-fpn;30.0;20.0;10.0;pedestrian;4.0;0.7440542568602034;0.7600629795623631
pointpillars-fpn;30.0;20.0;10.0;motorcycle;0.5;0.328603032670441;0.42349503693853324
pointpillars-fpn;30.0;20.0;10.0;motorcycle;1.0;0.4045040767651702;0.4871561474928446
pointpillars-fpn;30.0;20.0;10.0;motorcycle;2.0;0.4165482205901371;0.4965222617302061
pointpillars-fpn;30.0;20.0;10.0;motorcycle;4.0;0.425830327644749;0.5064858268720537
pointpillars-fpn;30.0;20.0;10.0;bicycle;0.5;0.08567723835503682;0.10576928011627487
pointpillars-fpn;30.0;20.0;10.0;bicycle;1.0;0.10787467594523599;0.13135212973928473
pointpillars-fpn;30.0;20.0;10.0;bicycle;2.0;0.11256489079167198;0.13710920959148115
pointpillars-fpn;30.0;20.0;10.0;bicycle;4.0;0.11912298454819871;0.1456886818890597
